"2023-06-26 12:09:55",fan,off
"2023-06-26 12:09:57",fan,off
"2023-06-26 12:09:59",fan,off
"2023-06-26 12:10:01",fan,off
"2023-06-26 12:10:04",fan,off
"2023-06-26 12:10:06",fan,off
"2023-06-26 12:10:08",fan,off
"2023-06-26 12:10:10",fan,off
"2023-06-26 12:10:12",fan,off
"2023-06-26 12:10:14",fan,off
"2023-06-26 12:10:16",fan,off
"2023-06-26 12:10:18",fan,off
"2023-06-26 12:10:20",fan,off
"2023-06-26 12:10:22",fan,off
"2023-06-26 12:10:24",fan,off
"2023-06-26 12:10:26",fan,off
"2023-06-26 12:10:29",fan,off
"2023-06-26 12:10:31",fan,off
"2023-06-26 12:10:33",fan,off
"2023-06-26 12:10:35",fan,off
"2023-06-26 12:10:37",fan,off
"2023-06-26 12:10:39",fan,off
"2023-06-26 12:10:41",fan,off
"2023-06-26 12:10:43",fan,off
"2023-06-26 12:10:45",fan,off
"2023-06-26 12:10:47",fan,off
"2023-06-26 12:10:49",fan,off
"2023-06-26 12:10:52",fan,off
"2023-06-26 12:10:54",fan,off
"2023-06-26 12:10:56",fan,off
"2023-06-26 12:10:58",fan,off
"2023-06-26 12:11:00",fan,off
"2023-06-26 12:11:02",fan,off
"2023-06-26 12:11:04",fan,off
"2023-06-26 12:11:06",fan,off
"2023-06-26 12:11:08",fan,off
"2023-06-26 12:11:10",fan,off
"2023-06-26 12:11:12",fan,off
"2023-06-26 12:11:15",fan,off
"2023-06-26 12:11:17",fan,off
"2023-06-26 12:11:19",fan,off
"2023-06-26 12:11:21",fan,off
"2023-06-26 12:11:23",fan,off
"2023-06-26 12:11:25",fan,off
"2023-06-26 12:11:27",fan,off
"2023-06-26 12:11:29",fan,off
"2023-06-26 12:11:31",fan,off
"2023-06-26 12:11:33",fan,off
"2023-06-26 12:11:35",fan,off
"2023-06-26 12:11:37",fan,off
"2023-06-26 12:11:40",fan,off
"2023-06-26 12:11:42",fan,off
"2023-06-26 12:11:44",fan,off
"2023-06-26 12:11:46",fan,off
"2023-06-26 12:11:48",fan,off
"2023-06-26 12:11:50",fan,off
"2023-06-26 12:11:52",fan,off
"2023-06-26 12:11:54",fan,off
"2023-06-26 12:11:56",fan,off
"2023-06-26 12:11:58",fan,off
"2023-06-26 12:12:00",fan,off
"2023-06-26 12:12:03",fan,off
"2023-06-26 12:12:05",fan,off
"2023-06-26 12:12:07",fan,off
"2023-06-26 12:12:09",fan,off
"2023-06-26 12:12:11",fan,off
"2023-06-26 12:12:13",fan,off
"2023-06-26 12:12:15",fan,off
"2023-06-26 12:12:17",fan,off
"2023-06-26 12:12:19",fan,off
"2023-06-26 12:12:21",fan,off
"2023-06-26 12:12:23",fan,off
"2023-06-26 12:12:26",fan,off
"2023-06-26 12:12:28",fan,off
"2023-06-26 12:12:30",fan,off
"2023-06-26 12:12:32",fan,off
"2023-06-26 12:12:34",fan,off
"2023-06-26 12:12:36",fan,off
"2023-06-26 12:12:38",fan,off
"2023-06-26 12:12:40",fan,off
"2023-06-26 12:12:42",fan,off
"2023-06-26 12:12:44",fan,off
"2023-06-26 12:12:46",fan,off
"2023-06-26 12:12:48",fan,off
"2023-06-26 12:12:51",fan,off
"2023-06-26 12:12:53",fan,off
"2023-06-26 12:12:55",fan,off
"2023-06-26 12:12:57",fan,off
"2023-06-26 12:12:59",fan,off
"2023-06-26 12:13:01",fan,off
"2023-06-26 12:13:03",fan,off
"2023-06-26 12:13:05",fan,off
"2023-06-26 12:13:07",fan,off
"2023-06-26 12:13:09",fan,off
"2023-06-26 12:13:11",fan,off
"2023-06-26 12:13:14",fan,off
"2023-06-26 12:13:16",fan,off
"2023-06-26 12:13:18",fan,off
"2023-06-26 12:13:20",fan,off
"2023-06-26 12:13:22",fan,off
"2023-06-26 12:13:24",fan,off
"2023-06-26 12:13:26",fan,off
"2023-06-26 12:13:28",fan,off
"2023-06-26 12:13:30",fan,off
"2023-06-26 12:13:32",fan,off
"2023-06-26 12:13:34",fan,off
"2023-06-26 12:13:36",fan,off
"2023-06-26 12:13:39",fan,off
"2023-06-26 12:13:41",fan,off
"2023-06-26 12:13:43",fan,off
"2023-06-26 12:13:45",fan,off
"2023-06-26 12:13:47",fan,off
"2023-06-26 12:13:49",fan,off
"2023-06-26 12:13:51",fan,off
"2023-06-26 12:13:53",fan,off
"2023-06-26 12:13:55",fan,off
"2023-06-26 12:13:57",fan,off
"2023-06-26 12:13:59",fan,off
"2023-06-26 12:14:01",fan,off
"2023-06-26 12:14:04",fan,off
"2023-06-26 12:14:06",fan,off
"2023-06-26 12:14:08",fan,off
"2023-06-26 12:14:10",fan,off
"2023-06-26 12:14:12",fan,off
"2023-06-26 12:14:14",fan,off
"2023-06-26 12:14:16",fan,off
"2023-06-26 12:14:18",fan,off
"2023-06-26 12:14:20",fan,off
"2023-06-26 12:14:22",fan,off
"2023-06-26 12:14:24",fan,off
"2023-06-26 12:14:26",fan,off
"2023-06-26 12:14:29",fan,off
"2023-06-26 12:14:31",fan,off
"2023-06-26 12:14:33",fan,off
"2023-06-26 12:14:35",fan,off
"2023-06-26 12:14:37",fan,off
"2023-06-26 12:14:39",fan,off
"2023-06-26 12:14:41",fan,off
"2023-06-26 12:14:43",fan,off
"2023-06-26 12:14:45",fan,off
"2023-06-26 12:14:47",fan,off
"2023-06-26 12:14:49",fan,off
"2023-06-26 12:14:51",fan,off
